# count	Eye tracker	Tracker mode	Tracker SamplingRate	Screen_size_w_mm	Screen_size_h_mm	res_x	res_y	Distance_to_screen_mm	px2deg	Operator	Participant ID	ROW_INDEX	posx	posx_px	posy	posy_px	TRIAL_START	TRIAL_END	time	left_gaze_x	left_gaze_x_px	left_gaze_y	left_gaze_y_px	left_pupil_measure1	right_gaze_x	right_gaze_x_px	right_gaze_y	right_gaze_y_px	right_pupil_measure1
0	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.442626953	0.294750272793	13.0	-0.861577720471	-38.0	1.56883025169	0.838904622564	37.0	-2.26730979071	-100.0	1.41331195831
1	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.450958252	0.362769566514	16.0	-1.36038587443	-60.0	1.569480896	0.838904622564	37.0	-2.26730979071	-100.0	1.41331195831
2	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.459320068	0.362769566514	16.0	-1.36038587443	-60.0	1.569480896	0.680192937214	30.0	-2.08592500746	-92.0	1.41050899029
3	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.467651367	0.385442664421	17.0	-1.67780924513	-74.0	1.56966733932	0.680192937214	30.0	-2.08592500746	-92.0	1.41050899029
4	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.475982666	0.385442664421	17.0	-1.67780924513	-74.0	1.56966733932	0.906923916285	40.0	-2.15394430118	-95.0	1.41040456295
5	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.484313965	0.521481251864	23.0	-1.85919402838	-82.0	1.57643985748	0.906923916285	40.0	-2.15394430118	-95.0	1.41040456295
6	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.492675781	0.521481251864	23.0	-1.85919402838	-82.0	1.57643985748	0.861577720471	38.0	-2.19929049699	-97.0	1.42526054382
7	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.501037598	0.430788860235	19.0	-1.92721332211	-85.0	1.56528794765	0.861577720471	38.0	-2.19929049699	-97.0	1.42526054382
8	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.509368896	0.430788860235	19.0	-1.92721332211	-85.0	1.56528794765	0.838904622564	37.0	-2.04057881164	-90.0	1.41086661816
9	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.517700195	0.453461958143	20.0	-1.83652093048	-81.0	1.57774877548	0.838904622564	37.0	-2.04057881164	-90.0	1.41086661816
10	LCTech EyeFollower	Binocular	60.0	531.9	299.2	1920.0	1080.0	700	44.1051330566	FM	55.0	18.0	7.21372556686	318	4.03949165344	178	364.4402771	365.456695557	364.526062012	0.453461958143	20.0	-1.83652093048	-81.0	1.57774877548	0.861577720471	38.0	-1.70048234303	-75.0	1.41953313351
